10k_tax,IUCN_tax,remove
Gorilla gorilla graueri,Gorilla beringei graueri,
Hapalemur aureus,Hapalemur aureus,
Hapalemur griseus,Hapalemur griseus,
Hapalemur griseus alaotrensis,Hapalemur alaotrensis,
Hapalemur griseus griseus,Hapalemur griseus griseus,
Hapalemur griseus meridionalis,Hapalemur meridionalis,
Hapalemur griseus occidentalis,Hapalemur occidentalis,
Hapalemur simus,Prolemur simus,
Homo sapiens,Homo sapiens,1
Homo sapiens neanderthalensis,Homo sapiens neanderthalensis,1
Hylobates agilis,Hylobates agilis,
Hylobates klossii,Hylobates klossii,
Hylobates lar,Hylobates lar,
Hylobates moloch,Hylobates moloch,
Hylobates muelleri,Hylobates muelleri,
Hylobates pileatus,Hylobates pileatus,
Indri indri,Indri indri,
Lagothrix lagotricha,Lagothrix lagothricha,
Lemur catta,Lemur catta,
Leontopithecus chrysomelas,Leontopithecus chrysomelas,
Leontopithecus chrysopygus,Leontopithecus chrysopygus,
Leontopithecus rosalia,Leontopithecus rosalia,
Lepilemur aeeclis,Lepilemur aeeclis,
Lepilemur ankaranensis,Lepilemur ankaranensis,
Lepilemur dorsalis,Lepilemur dorsalis,
Lepilemur edwardsi,Lepilemur edwardsi,
Lepilemur hubbardorum,Lepilemur hubbardorum,
Lepilemur leucopus,Lepilemur leucopus,
Lepilemur manasamody,Lepilemur grewcockorum,
Lepilemur microdon,Lepilemur microdon,
Lepilemur mitsinjoensis,Lepilemur mitsinjoensis,1
Lepilemur mustelinus,Lepilemur mustelinus,
Lepilemur otto,Lepilemur otto,
Lepilemur randrianasoli,Lepilemur randrianasoloi,
Lepilemur ruficaudatus,Lepilemur ruficaudatus,
Lepilemur sahamalazensis,Lepilemur sahamalaza,
Lepilemur seali,Lepilemur seali,
Lepilemur septentrionalis,Lepilemur septentrionalis,
Lophocebus albigena,Lophocebus albigena,
Lophocebus aterrimus,Lophocebus aterrimus,
Loris lydekkerianus,Loris lydekkerianus,
Loris tardigradus,Loris tardigradus,
Macaca arctoides,Macaca arctoides,
Macaca assamensis,Macaca assamensis,
